geom,block,wl,CLASS_NODATA,CLASS_1,CLASS_2,CLASS_3,CLASS_4,CLASS_5
"MULTIPOLYGON (((833753.469326556 225912.938372713,833759.99531211 225904.42621766,833754.32054206 225897.332755115,833743.964086741 225875.76862897,833681.683485597 225719.428714436,833147.971363544 224322.725938939,832896.720920138 223662.608314324,832851.887296585 223547.609064676,832548.715647571 222769.966987412,832311.510260023 222819.904963739,831696.648926444 223043.065295462,832061.820378363 223913.858757731,832572.124073997 225162.308165997,833046.534849137 226281.230948154,833141.729116522 226512.194088683,833325.875404224 226438.847685941,833350.844392397 226429.484315388,833372.692257047 226409.197012495,833753.469326556 225912.938372713)))",NP 4,6.5,0,263,266,218,736,3663164
"MULTIPOLYGON (((833759.99531211 225904.42621766,833788.350772321 225865.542473104,833901.954943031 225711.949634299,833997.382446446 225581.077629626,834084.630449556 225472.017625734,834146.431118444 225389.313789446,834180.057952963 225342.963287797,834208.231787317 225307.518786523,834249.129288763 225266.621285073,834368.18645969 225163.923114743,834459.978629634 225086.67227865,834566.312133417 225017.60094285,834716.336315572 224922.723484635,834710.214134984 224884.076222721,834699.432332188 224816.014336992,834660.022417143 224527.382683568,834634.039905503 224337.103327014,834609.681581698 224229.886264246,834584.784760736 224078.17725211,833147.971363544 224322.725938939,833176.364859805 224397.030556314,833681.683485597 225719.428714436,833743.964086741 225875.76862897,833754.32054206 225897.332755115,833759.99531211 225904.42621766)))",NP 1,10.5,0,3506,165820,1044456,466182,248910
"MULTIPOLYGON (((833364.308661026 222638.584347274,833617.056835043 223416.265286047,834452.899917934 223274.993943766,834387.59064088 222875.140166074,834361.66450844 222716.408321772,834318.5513025 222484.866849083,833364.308661026 222638.584347274)))",NP 3B,13.9,0,28279,229594,530470,68089,18554
"MULTIPOLYGON (((834452.899917934 223274.993943766,832851.149400253 223545.716344015,832851.887296595 223547.609064676,832872.29767938 223599.962154146,832896.720920138 223662.608314324,833147.971363544 224322.725938939,834584.784760736 224078.17725211,834543.978622645 223829.524666961,834461.473803774 223327.487261608,834455.79481893 223292.717874449,834452.899917934 223274.993943766)))",NP 2,13.5,9787,340308,727170,243369,17592,163031
"MULTIPOLYGON (((833617.056835043 223416.265286047,833364.308661026 222638.584347274,832548.715647571 222769.966987412,832572.350163676 222830.590051115,832851.149400253 223545.716344015,833617.056835043 223416.265286047)))",NP 3A,13.3,0,68891,232207,351555,62655,62534
